"" "" "LR.summary.stat" "LR.summary.p.val" "p" "adj.p"
"186" "RAD21" "NFIX" "33.2968960259931" "2.78813268028699e-07" "0" "0"
"187" "CREB1" "SESN3" "33.2829199925216" "2.80712768696567e-07" "0" "0"
"188" "KLF1" "SRSF7" "33.2092459179239" "2.90941525760147e-07" "0" "0"
"189" "RORA" "SRSF7" "32.8995249019034" "3.38173263503272e-07" "0" "0"
"190" "NFE2L2" "SNRPA1" "32.7616486249338" "3.6159118133039e-07" "0" "0"
"191" "CBX5" "GAR1" "32.7043243546985" "3.71797700515764e-07" "0" "0"
"192" "MXI1" "CCT2" "32.2939289914523" "4.53769930963688e-07" "0" "0"
"193" "FOXO3" "RBM3" "32.2452308098361" "4.64623667539854e-07" "0" "0"
"194" "KLF1" "MRPL2" "32.1561943687504" "4.85142294892604e-07" "0" "0"
"195" "NFIA" "SNRPD2" "32.0693141518781" "5.06035532366056e-07" "0" "0"
"196" "NR3C1" "SRSF7" "31.9447609083663" "5.37564785352274e-07" "0" "0"
"197" "KLF1" "EIF3D" "31.6572263826736" "6.18041909872247e-07" "0" "0"
"198" "NFIX" "IMPDH2" "30.9598949839308" "8.6673766030998e-07" "0" "0"
"199" "SP2" "RPS12" "30.9229860537582" "8.82386030354176e-07" "0" "0"
"200" "IRF2" "NDUFA9" "30.4124097764804" "1.13013159874775e-06" "0" "0"
"201" "ATF1" "ERH" "30.1544383850587" "1.28058531845276e-06" "0" "0"
"202" "KLF3" "CCNB2" "30.1006010415138" "1.31442138129323e-06" "0" "0"
"203" "LYL1" "PRDX6" "29.9860699551816" "1.38939965399487e-06" "0" "0"
"204" "STAT3" "RPIA" "29.9481687579114" "1.4151399930773e-06" "0" "0"
"205" "MLXIP" "RPS12" "29.8873970670907" "1.45740954526907e-06" "0" "0"
"206" "FOXO3" "CCT6A" "29.7300678829433" "1.57278447010523e-06" "0" "0"
"207" "MAX" "NDUFA9" "29.7044151462245" "1.59244221920041e-06" "0" "0"
"208" "MLXIP" "WASF2" "28.9749677258808" "2.26671665148892e-06" "0" "0"
"209" "NFIX" "EIF1" "28.7013246770434" "2.58754229875979e-06" "0" "0"
"210" "IRF2" "RBMX" "28.4898591481403" "2.86617571021441e-06" "0" "0"
"211" "LMO2" "LPCAT3" "28.3016536334686" "3.13923548234118e-06" "0" "0"
"212" "NFIX" "LGALS3" "27.9929303758171" "3.64446747247449e-06" "0" "0"
"213" "FOS" "SNRPA1" "27.9925590905791" "3.64512149575447e-06" "0" "0"
"214" "TAL1" "MRPL52" "27.9869846542685" "3.65495501786217e-06" "0" "0"
"215" "E4F1" "ACADVL" "27.8429912608436" "3.91834284130255e-06" "0" "0"
"216" "TCF3" "APEX1" "27.8248795968477" "3.95278535325616e-06" "0" "0"
"217" "SOX6" "SRSF7" "27.3122288987577" "5.06350298667968e-06" "0" "0"
"218" "KLF1" "MRPL51" "27.1118362431191" "5.57792864352979e-06" "0" "0"
"219" "TCF3" "FUS" "26.9946248341391" "5.9026513209437e-06" "0" "0"
"220" "NFE2L1" "SDHC" "26.7223475389981" "6.73159682917923e-06" "0" "0"
"221" "HDAC2" "IDH2" "26.6659772125086" "6.91721407886092e-06" "0" "0"
"222" "MGA" "NDUFA9" "26.6223991884925" "7.06419969087602e-06" "0" "0"
